solution, training, test, reduction, time
11011010000011101100100011101100110100101000001100111011111111110111010100000011101000001110001011110011111111101110010000110110010111100101110100001000110000011011101001011101010111011000111001100010101110101101100001001100110101101100011110010100110011111100001011111100110010, 0.7628865979381443, 0.5729166666666666, 0.46402877697841727, 1155.763157
10001101001000101011011100110000000001000000111010110101000000100000001101000001100101110000100001001100000100110010000110000101010011111100011000100001110000101110010011010101101000011111001000010101100101110000001001101001110101100111111101001101011011011111011111101000000101, 0.7552083333333334, 0.5927835051546392, 0.5575539568345323, 1152.967903
10001011010101100011000011000010000010011000101101100111000110100011101010001001111001011111000110110001101000100001101110001001000110001011010110110010110000110111110001011110110010100100100110010101011010100000101000110101001000110001001010001100001100100101001110101001011110, 0.7731958762886598, 0.640625, 0.5431654676258992, 1177.09486
00101100000001001111000001111110000011000000101000000011011011001101110000001000101110110111110011000111010010110001010100010110000011100101101000000100010110110110110100100001000001000010100111010010100001111000010001000111001111010110101110101010101100110011010000001111111101, 0.796875, 0.6494845360824743, 0.5503597122302158, 1157.439605
10110000100110001000101011110100000111101001101001010101010101000101000101001000110001111101110000100000001111110101010111010111101110000101011100111110000001101001010110001000010011110011110000111011101001101010111011101101100100100011100011101111101000000111111011010011001101, 0.7422680412371134, 0.6302083333333334, 0.49280575539568344, 1175.819242
10101101000101100110111110111000010110110011111101001110011010010110001111111000111000011010111011111000110000001100111111011110100101000100000111111100101111000011010110000001111111011010111101100101010000101010100110010001110110111111100110111100100011010010100001000010111101, 0.7395833333333334, 0.6030927835051546, 0.45323741007194246, 1159.574161
00010100100011111000010101000000000011000000011011101100110100001111010100001101100101110011011001010001000100110010011111000110110100010111011110001110011001110000100111010011001000001101001001110101000111010000110110000110011101110100010001101110101000010001001001000011000111, 0.7474226804123711, 0.6614583333333334, 0.5503597122302158, 1177.049683
11111011101000010000100001001100101001111110000000100110110001100010111000011111100000000101010001100101000101111001010000011000111110000110000011111110100111101001110101111010000110011111100111100111110111010010100101011100111100011010011001111111010101111111110011011010000111, 0.7604166666666666, 0.5051546391752577, 0.4712230215827338, 1146.629648
00111100100010001100001011001000110111010000100011010010100111111110000110110010001111011110100011010110111111110010001101111011010100100110111001101011011001110000111110001101000100001010110000011100010101111001111100100000110100110001101101010011011100011110011101001111100001, 0.7268041237113402, 0.6041666666666666, 0.48201438848920863, 1192.412462
11001110101001101100001100000100000111011100101000111100101110011011101101111110011010100101001000001011101000001001111000101100100100010011100100000001101110011101111000001111111011110111001101111011101111111101000000001010001010101000001000111010111111000100110011101110100110, 0.7395833333333334, 0.6185567010309279, 0.4856115107913669, 1155.162995
