solution, training, test, reduction, time
0110, 0.9866666666666667, 0.8933333333333333, 0.5, 5.563057
1001, 0.96, 0.96, 0.5, 5.91176
1111, 0.9733333333333334, 0.8933333333333333, 0.0, 5.492379
0010, 0.96, 0.9466666666666667, 0.75, 5.393592
1111, 0.9866666666666667, 0.92, 0.0, 5.680013
1110, 0.9866666666666667, 0.96, 0.25, 5.449118
1001, 0.9733333333333334, 0.9466666666666667, 0.5, 5.309977
0010, 0.9733333333333334, 0.9333333333333333, 0.75, 5.173908
1010, 0.9733333333333334, 0.92, 0.5, 5.154009
1111, 0.96, 0.96, 0.0, 5.134149
