solution, training, test, reduction, time
110001110011001110111111101101, 0.968421052631579, 0.9683098591549296, 0.3333333333333333, 0.578433
110001111100001001010011001111, 0.9683098591549296, 0.9543859649122807, 0.4666666666666667, 0.73283
001001001000111010011111110100, 0.9649122807017544, 0.971830985915493, 0.5, 1.37249
111010000000101000110101100101, 0.9823943661971831, 0.9508771929824561, 0.5666666666666667, 1.03502
011100101101001000100011100010, 0.968421052631579, 0.9683098591549296, 0.5666666666666667, 0.913709
111100000010111010000111101100, 0.9929577464788732, 0.9578947368421052, 0.5, 1.796478
101111111111001011000010011010, 0.9614035087719298, 0.9471830985915493, 0.4, 1.006337
101110001000001010000111000101, 0.971830985915493, 0.9438596491228071, 0.6, 0.921106
011011010000111011101000001101, 0.9719298245614035, 0.9507042253521126, 0.5, 0.959053
101010010011011010000101111111, 0.9683098591549296, 0.968421052631579, 0.43333333333333335, 0.849191
