solution, training, test, reduction, time
110101100011110000110111001101, 0.9368421052631579, 0.954225352112676, 0.43333333333333335, 13.030547
101001111100000001010001001101, 0.9612676056338029, 0.9298245614035088, 0.5666666666666667, 8.789601
011101011000000010011011011100, 0.9649122807017544, 0.9225352112676056, 0.5333333333333333, 21.504924
110100000000001000110111010111, 0.9366197183098591, 0.9543859649122807, 0.5666666666666667, 11.608181
001001101111011010100011000010, 0.9438596491228071, 0.9401408450704225, 0.5333333333333333, 11.745424
011100010010000100000001011100, 0.954225352112676, 0.9368421052631579, 0.6666666666666666, 13.76089
110011101111001011000101111010, 0.9087719298245615, 0.9471830985915493, 0.4, 13.464234
111000001000000011000001000101, 0.9612676056338029, 0.9298245614035088, 0.7, 10.972391
000011010000010011000010111100, 0.9473684210526315, 0.897887323943662, 0.6333333333333333, 12.083862
101000011000000100010110010111, 0.9295774647887324, 0.9438596491228071, 0.6, 10.96682
